update,total_steps,eval_mean_reward
10,2560,-0.20879333333333344
20,5120,-0.20879333333333344
30,7680,-0.20879333333333344
40,10240,-0.09836000000000013
50,12800,-0.09560000000000012
60,15360,-0.09437333333333345
70,17920,-0.13006000000000012
80,20480,-0.13542666666666678
90,23040,-0.09314666666666678
100,25600,-0.09314666666666678
110,28160,-0.09314666666666678
120,30720,-0.09314666666666678
130,33280,-0.09314666666666678
140,35840,-0.09483333333333345
150,38400,-0.057766666666666806
160,40960,-0.13527333333333347
170,43520,-0.13266666666666677
180,46080,-0.09314666666666678
190,48640,-0.09314666666666678
200,51200,-0.057766666666666806
210,53760,-0.10127333333333347
220,56320,-0.09713333333333346
230,58880,-0.09314666666666678
240,61440,-0.09314666666666678
250,64000,-0.06221333333333348
260,66560,-0.13236000000000012
270,69120,-0.09314666666666678
280,71680,-0.09698000000000012
290,74240,-0.05669333333333347
300,76800,-0.09314666666666678
310,79360,-0.09314666666666678
320,81920,-0.09713333333333346
330,84480,-0.09314666666666678
340,87040,-0.09314666666666678
350,89600,-0.17295333333333346
360,92160,-0.17295333333333346
370,94720,-0.13895333333333343
380,97280,-0.17295333333333346
390,99840,-0.13895333333333343
400,102400,-0.13895333333333343
410,104960,-0.10725333333333345
420,107520,-0.13895333333333343
430,110080,-0.13895333333333343
440,112640,-0.13895333333333343
450,115200,-0.030360000000000144
460,117760,-0.05715333333333348
470,120320,-0.05746000000000014
480,122880,-0.05746000000000014
490,125440,0.021733333333333205
500,128000,-0.13098000000000012
510,130560,-0.05746000000000014
520,133120,-0.05746000000000014
530,135680,-0.057766666666666806
540,138240,-0.05746000000000014
550,140800,-0.06252000000000014
560,143360,-0.17234000000000013
570,145920,-0.05746000000000014
580,148480,-0.057766666666666806
590,151040,-0.017940000000000133
600,153600,-0.2500000000000001
610,156160,-0.1015800000000001
620,158720,-0.017940000000000133
630,161280,-0.09575333333333345
640,163840,-0.0954466666666668
650,166400,-0.10127333333333345
660,168960,0.007933333333333204
670,171520,-0.05362666666666681
680,174080,-0.015946666666666793
690,176640,-0.0683466666666668
700,179200,-0.13205333333333344
710,181760,0.019586666666666537
720,184320,-0.09314666666666678
730,186880,-0.1378800000000001
740,189440,0.04315999999999987
750,192000,-0.02576000000000013
760,194560,-0.17203333333333345
770,197120,-0.1378800000000001
780,199680,0.020199999999999864
