update,total_steps,eval_mean_reward
10,2560,-0.2500000000000001
20,5120,-0.2500000000000001
30,7680,-0.2500000000000001
40,10240,-0.2500000000000001
50,12800,-0.2500000000000001
60,15360,-0.2500000000000001
70,17920,-0.2500000000000001
80,20480,-0.2500000000000001
90,23040,-0.2500000000000001
100,25600,-0.2500000000000001
110,28160,-0.2500000000000001
120,30720,-0.2500000000000001
130,33280,-0.2500000000000001
140,35840,-0.2500000000000001
150,38400,-0.2500000000000001
160,40960,-0.2500000000000001
170,43520,-0.2500000000000001
180,46080,-0.2500000000000001
190,48640,-0.2500000000000001
200,51200,-0.2500000000000001
210,53760,-0.2500000000000001
220,56320,-0.2500000000000001
230,58880,-0.2500000000000001
240,61440,-0.2150800000000001
250,64000,-0.21538666666666678
260,66560,-0.17939333333333343
270,69120,-0.2126266666666668
280,71680,-0.2500000000000001
290,74240,-0.2500000000000001
300,76800,-0.21477333333333345
310,79360,-0.2500000000000001
320,81920,-0.2500000000000001
330,84480,-0.2500000000000001
340,87040,-0.2500000000000001
350,89600,-0.2500000000000001
360,92160,-0.2500000000000001
370,94720,-0.21247333333333346
380,97280,-0.2500000000000001
390,99840,-0.2500000000000001
400,102400,-0.1884400000000001
410,104960,-0.2150800000000001
420,107520,-0.2500000000000001
430,110080,-0.2500000000000001
440,112640,-0.2500000000000001
450,115200,-0.2500000000000001
460,117760,-0.07478666666666679
470,120320,-0.14677333333333345
480,122880,-0.17939333333333346
490,125440,-0.1075600000000001
500,128000,-0.10863333333333344
510,130560,-0.10664000000000012
520,133120,-0.14294000000000012
530,135680,0.17195333333333326
540,138240,0.0671933333333332
550,140800,0.3065733333333333
560,143360,0.41669999999999985
570,145920,0.3127066666666666
580,148480,0.5860866666666665
590,151040,0.24823333333333325
600,153600,-0.14294000000000012
610,156160,0.03073999999999987
620,158720,0.20426666666666654
630,161280,0.42911999999999995
640,163840,0.27809333333333325
650,166400,0.7444733333333332
660,168960,0.5046333333333333
670,171520,0.7875199999999997
680,174080,0.7058733333333331
690,176640,0.7516799999999998
700,179200,0.7552066666666664
710,181760,0.7793933333333332
720,184320,0.7916599999999998
730,186880,0.7836866666666664
740,189440,0.7582733333333331
750,192000,0.7895133333333332
760,194560,0.828573333333333
770,197120,0.7913533333333331
780,199680,0.39926
