update,total_steps,eval_mean_reward
10,5120,-0.3000000000000002
20,10240,-0.3000000000000002
30,15360,-0.3000000000000002
40,20480,-0.3000000000000002
50,25600,0.756
60,30720,0.82
70,35840,-0.3000000000000002
80,40960,-0.3000000000000002
90,46080,0.78
100,51200,0.8039999999999999
110,56320,0.8400000000000001
120,61440,0.8240000000000001
130,66560,0.8160000000000001
140,71680,0.72
150,76800,0.788
160,81920,0.7839999999999999
170,87040,0.808
180,92160,0.8160000000000001
190,97280,0.82
200,102400,0.82
210,107520,0.8320000000000001
220,112640,0.8240000000000001
230,117760,0.82
240,122880,0.8400000000000001
250,128000,0.828
260,133120,0.7999999999999999
270,138240,-0.3000000000000002
280,143360,0.836
290,148480,0.836
300,153600,0.8320000000000001
310,158720,-0.3000000000000002
320,163840,0.8480000000000001
330,168960,0.836
340,174080,0.828
350,179200,0.8560000000000001
360,184320,0.8320000000000001
370,189440,0.8039999999999999
380,194560,0.808
390,199680,0.8160000000000001
